id_venta,fecha,cliente,ciudad,producto,categoria,cantidad,precio_unitario,total_venta,metodo_pago
1,2023-06-09,Curro Garmendia Villegas,Lugo,Laptop,Oficina,3,2404.08,7212.24,Transferencia
2,2023-06-15,Angelita Acosta,Álava,Laptop,Tecnología,4,1327.46,5309.84,PayPal
3,2023-12-25,Juan José Cañete Lago,Ourense,Laptop,Periféricos,2,2351.49,4702.98,Transferencia
4,2023-07-20,Sigfrido Cano Pera,Santa Cruz de Tenerife,Memoria RAM,Accesorios,3,1226.05,3678.15,Efectivo
5,2024-04-02,Alcides Almazán Nebot,La Coruña,Impresora,Accesorios,10,2310.84,23108.4,PayPal
6,2024-10-01,Yaiza Adán Río,Ávila,Impresora,Periféricos,6,493.33,2959.98,PayPal
7,2025-03-21,Evaristo Bartolomé Prada,Tarragona,Laptop,Periféricos,10,1627.82,16278.2,Tarjeta
8,2024-03-27,Fidel Huerta Carro,Cáceres,Disco SSD,Oficina,5,557.19,2785.95,Efectivo
9,2024-06-10,Lupe de Tapia,Lleida,Teclado,Tecnología,10,320.39,3203.9,Transferencia
10,2023-06-22,Rogelio Zaragoza Valverde,Guipúzcoa,Auriculares,Periféricos,8,2245.83,17966.64,Tarjeta
11,2025-04-27,Máximo Ariño Toro,Álava,Tablet,Tecnología,8,2332.06,18656.48,Transferencia
12,2023-04-03,Ariel Aznar,Baleares,Teclado,Accesorios,7,265.3,1857.1,Tarjeta
13,2023-10-03,Lupe Machado-Piquer,Las Palmas,Teclado,Oficina,4,2191.26,8765.04,Transferencia
14,2024-10-16,Teodora Atienza Quintero,Málaga,Teclado,Periféricos,10,1808.98,18089.8,PayPal
15,2025-02-23,Paca Garmendia Iglesias,Asturias,Memoria RAM,Oficina,5,149.74,748.7,Tarjeta
16,2024-06-11,Juan Antonio Gálvez Morcillo,Valladolid,Disco SSD,Accesorios,4,537.4,2149.6,PayPal
17,2025-04-06,Carmelo Esteve Soria,Las Palmas,Tablet,Oficina,6,1423.03,8538.18,Transferencia
18,2023-10-27,Felix Meléndez,Zamora,Disco SSD,Periféricos,1,1987.37,1987.37,Efectivo
19,2024-12-23,Eliseo Pina Recio,Segovia,Disco SSD,Oficina,2,194.38,388.76,Efectivo
20,2024-04-06,Julia Calvet Rebollo,Ávila,Memoria RAM,Tecnología,5,1353.07,6765.35,PayPal
21,2023-08-13,Débora Amores Diez,Lugo,Impresora,Periféricos,7,422.51,2957.57,Transferencia
22,2024-02-12,Leonardo Carro Angulo,Teruel,Memoria RAM,Tecnología,10,1751.32,17513.2,PayPal
23,2025-02-22,Jesusa Tejera Casanova,Valencia,Monitor,Accesorios,1,1403.12,1403.12,Tarjeta
24,2024-09-14,Salvador Mesa Cabeza,Cuenca,Laptop,Accesorios,8,467.3,3738.4,Transferencia
25,2023-02-09,Nadia Rodrigo Morante,Murcia,Mouse,Oficina,2,557.2,1114.4,PayPal
26,2024-12-10,Juan Giralt Prats,Zaragoza,Disco SSD,Oficina,1,593.05,593.05,Transferencia
27,2024-05-08,Hortensia Paula Fiol Vera,Girona,Memoria RAM,Periféricos,10,875.44,8754.4,Efectivo
28,2023-03-04,Macaria Bravo Porcel,Málaga,Laptop,Tecnología,10,344.31,3443.1,Tarjeta
29,2024-04-22,Cruz Figuerola Cifuentes,Valladolid,Mouse,Oficina,6,57.14,342.84,PayPal
30,2024-11-25,Dan Pina Mate,Valencia,Disco SSD,Tecnología,2,1235.33,2470.66,Transferencia
31,2024-09-26,Jesusa Lamas Santana,Girona,Disco SSD,Periféricos,4,1685.86,6743.44,Efectivo
32,2024-07-11,Ester Cazorla-Santana,Barcelona,Teclado,Oficina,7,1331.15,9318.05,Tarjeta
33,2025-03-26,Cecilio Peral-Galán,Zaragoza,Impresora,Accesorios,5,573.7,2868.5,Tarjeta
34,2024-02-08,Hugo Busquets Salvador,Sevilla,Auriculares,Periféricos,4,1767.02,7068.08,Tarjeta
35,2023-11-24,Aristides Miranda Molins,Cuenca,Monitor,Accesorios,2,1541.85,3083.7,Efectivo
36,2023-06-02,Eladio de Alcalde,Navarra,Laptop,Oficina,7,1410.48,9873.36,Transferencia
37,2025-02-05,Balduino del Redondo,Toledo,Webcam,Periféricos,8,1697.53,13580.24,PayPal
38,2024-03-23,Chema Novoa,Sevilla,Webcam,Accesorios,5,1101.72,5508.6,PayPal
