id_venta,fecha,id_usuario,usuario,correo,id_producto,producto,cantidad,precio_unitario,total
1,2026-05-05 17:18:14,72,Mateo Paspuel,mateo.paspuel64@gmail.com,80,Pantalon Relaxed Gris,3,34.6,103.8
2,2026-05-04 16:33:08,80,Mateo Gomez,mateo.gomez40@gmail.com,116,Chaqueta Cargo Negra,4,83.92,335.68
3,2026-05-30 14:48:00,79,Valeria Cruz,valeria.cruz58@gmail.com,35,Camisa Rayada Azul,1,62.95,62.95
4,2026-05-18 04:58:52,27,Luis Mora,luis.mora33@gmail.com,87,Hoodie Vintage Gris,1,44.19,44.19
5,2026-05-16 00:40:13,36,Andres Rojas,andres.rojas47@gmail.com,133,Short Oversize Beige,2,17.21,34.42
6,2026-05-01 17:13:06,96,Mateo Mora,mateo.mora34@gmail.com,150,Cadena Plateada,2,40.5,81.0
7,2026-05-26 10:56:17,85,Fernanda Herrera,fernanda.herrera13@gmail.com,181,Polo Oversize Negro,2,25.71,51.42
8,2026-05-26 07:16:09,97,Diego Rojas,diego.rojas44@gmail.com,31,Camisa Coreana Blanca,5,57.47,287.35
9,2026-05-02 01:33:37,42,Fernanda Navarro,fernanda.navarro34@gmail.com,88,Hoodie Streetwear Blanco,4,45.56,182.24
10,2026-05-16 16:31:12,31,Jose Perez,jose.perez2@gmail.com,115,Chaqueta Vintage Denim,3,82.55,247.65
11,2026-05-11 06:00:16,47,Valeria Benitez,valeria.benitez19@gmail.com,147,Beanie Blanco,2,36.39,72.78
12,2026-05-08 14:18:09,75,Miguel Vega,miguel.vega53@gmail.com,43,Jean Baggy Negro,1,73.91,73.91
13,2026-05-25 05:03:18,63,Luis Salazar,luis.salazar83@gmail.com,50,Jean Recto Negro,3,83.5,250.5
14,2026-05-28 15:46:29,90,Andres Ruiz,andres.ruiz70@gmail.com,176,Sneakers Vintage Rojos,4,76.12,304.48
15,2026-05-07 03:10:01,67,Miguel Paspuel,miguel.paspuel30@gmail.com,143,Gorra Roja,2,30.91,61.82
16,2026-05-03 16:40:32,49,Miguel Benitez,miguel.benitez4@gmail.com,193,Tank Top Streetwear Gris,1,48.63,48.63
17,2026-05-04 03:15:39,39,Ana Castro,ana.castro27@gmail.com,133,Short Oversize Beige,4,17.21,68.84
18,2026-05-10 13:52:18,88,Sofia Paspuel,sofia.paspuel45@gmail.com,2,Camiseta Basica Blanca,5,17.74,88.7
19,2026-05-27 07:35:35,43,Jose Rojas,jose.rojas67@gmail.com,154,Lentes Vintage,5,45.98,229.9
20,2026-05-29 12:12:53,17,Pedro Gomez,pedro.gomez67@gmail.com,85,Hoodie Graphic Rojo,4,41.45,165.8
21,2026-05-18 05:13:27,85,Fernanda Herrera,fernanda.herrera13@gmail.com,56,Jean Streetwear Gris,3,91.72,275.16
22,2026-05-08 16:23:44,100,Ana Torres,ana.torres87@gmail.com,11,Camiseta Retro 90s,4,30.07,120.28
23,2026-05-07 22:03:28,53,Fernanda Paspuel,fernanda.paspuel45@gmail.com,119,Chaqueta Windbreaker Azul,4,88.03,352.12
24,2026-05-17 16:48:48,70,Diana Ruiz,diana.ruiz90@gmail.com,81,Hoodie Oversize Negro,4,35.97,143.88
25,2026-05-30 18:04:06,45,Fernanda Ruiz,fernanda.ruiz48@gmail.com,71,Pantalon Formal Azul,2,22.27,44.54
26,2026-05-01 22:22:12,16,Miguel Romero,miguel.romero59@gmail.com,122,Short Deportivo Gris,5,92.14,460.7
27,2026-05-19 12:23:52,15,Jose Castro,jose.castro82@gmail.com,169,Zapatos Casuales Beige,5,66.53,332.65
28,2026-05-01 12:36:40,57,Luis Acosta,luis.acosta47@gmail.com,57,Jean Loose Fit Azul,1,93.09,93.09
29,2026-05-24 05:56:52,84,Daniel Flores,daniel.flores75@gmail.com,62,Pantalon Cargo Beige,4,99.94,399.76
30,2026-05-30 12:07:00,64,Emily Salazar,emily.salazar93@gmail.com,187,Sudadera Boxy Fit Beige,2,37.17,74.34
31,2026-05-09 16:34:24,8,Paula Benitez,paula.benitez90@gmail.com,200,Chompa Retro Blanco,2,62.0,124.0
32,2026-05-22 01:15:49,24,Jose Gomez,jose.gomez27@gmail.com,60,Jean Acid Wash,1,97.2,97.2
33,2026-05-22 10:37:08,23,Camila Castro,camila.castro71@gmail.com,69,Pantalon Streetwear Gris,1,19.53,19.53
34,2026-05-05 05:54:14,75,Miguel Vega,miguel.vega53@gmail.com,105,Chaqueta Cuero Negra,2,68.85,137.7
